Course,Section,classtype,Title,Dept,Half,AV Requirements,Instructors,Anticipated Enrollment,Respect Room,Respect Time,Days 1,Start Time 1,End Time 1,Room 1,Days 2,Start Time 2,End Time 2,Room 2,Days 3,Start Time 3,End Time 3,Room 3
15.9,B,,Competitive Strategy,TIES,H1,,P. Yin,67,,,"M, W, F",1:00 PM,2:30 PM,E51-145,"M, W, F",10:00 AM,11:30 AM,E51-145,,,,
15.91,,,Innovation Strategy,TIES,H2,,P. Azoulay,67,,,"M, W",10:00 AM,11:30 AM,E51-145,"M, W",8:30 AM,10:00 AM,E51-145,,,,
15.911,A,,Entrepreneurship Strategy,TIES,H2,,S. Stern,67,,,"M, W, F",1:00 PM,2:30 PM,E51-325,,,,,,,,
15.911,B,,Entrepreneurship Strategy,TIES,H2,,S. Stern,67,,,"M, W, F",2:30 PM,4:00 PM,E51-325,,,,,,,,
15.912,A,,Strategic Mgmt of Innov. And Entre.,TIES,H1,,J. Davis,67,,,"M, W, F",1:00 PM,2:30 PM,E51-149,,,,,,,,
15.912,A,,Strategic Mgmt of Innov. And Entre.,TIES,H1,,J. Davis,67,,,"M, W, F",2:30 PM,4:00 PM,E51-149,,,,,,,,
15.913,,,Strategies for Sustainable Business,TIES,H1,,"M. Amengual, J. Sterman",67,y,y,"M, W",4:00 PM,5:30 PM,E51-325,,,,,,,,
15.914,,,Competitive Dynamics,TIES,,,H. Weil,54,,,T,4:00 PM,6:00 PM,E51-151,M ,3:00 PM,5:00 PM,E51-151,M,4:00 PM,6:00 PM,E51-151
15.915,,,Lab for Sustainable Business,TIES,,,"M. Amengual, J. Sterman, J. Jay",86,,,"M, W",4:00 PM,5:30 PM,E51-325,,,,,,,,
15.S15,,,Entrepreneur & Prosperty,TIES,,,I. Quadir,50,,Y,"T, Th",2:30 PM,4:00 PM,E51-151,,,,,,,,
15.S25,,,Management of Innovation,TIES,,,P. Azoulay,20,,,M,6:00 PM,9:00 PM,E51-390,,,,,,,,
15.S67,,,Doc Sem in Corp Sustainability,TIES,,,M. Zollo,30,,,F,9:00 AM,12:00 PM,E62-221,,,,,,,,
15.401,C,,Finance Theory I  ,Finance,,,E. Jacquier,76,,,"M, W",10:00 AM,11:30 AM,E51-335,,,,,,,,
15.401,C,Rec,Finance Theory I  ,Finance,,,Jac1,76,,,F ,10:00 AM,11:30 AM,E51-335,,,,,,,,
15.401,D,,Finance Theory I  ,Finance,,,E. Jacquier,80,,,"M , W ",1:00 PM,2:30 PM,E62-262,,,,,,,,
15.401,D,Rec,Finance Theory I  ,Finance,,,Jac2,80,,,F ,1:00 PM,2:30 PM,E51-145,,,,,,,,
15.402,A,,Finance Theory II (1st yr),Finance,,,P. Asquith,105,Y,Y,"M, W",10:00 AM,11:30 AM,E62-276,,,,,,,,
15.402,B,,"Finance Theory II (M, SF)",Finance,,,R. Iyer,80,,,"T , Th",1:00 PM,2:30 PM,E62-276,,,,,,,,
15.402,C,,"Finance Theory II (M, SF)",Finance,,,R. Iyer,80,,,"M, W",2:30 PM,4:00 PM,E62-276,,,,,,,,
15.412,,,Finance Theory II,Finance,,,C. Stephenson,86,,,"T, Th",10:00 AM,11:30 AM,E62-223,"T, Th",1:00 PM,2:30 PM,E62-223,"T, Th",2:30 PM,4:00 PM,E62-223
15.431,A,,Entreprenurial Finance,Finance,H1,,A. Schoar,76,,,"T, Th",1:00 PM,2:30 PM,E51-335,,,,,,,,
15.431,B,,Entreprenurial Finance,Finance,H1,,A. Schoar,76,,,"T, Th",2:30 PM,4:00 PM,E51-335,,,,,,,,
15.434,,,Adv Corp Finance,Finance,,,A. Mello,75,,,"M, W",10:00 AM,11:30 AM,E51-315,"M, W",10:00 AM,11:30 AM,E51-325,"M, W",10:00 AM,11:30 AM,E51-335
15.437,A,,Options and Futures,Finance,,,J. Cox,67,Y,Y,"T, Th",1:00 PM,2:30 PM,E51-149,,,,,,,,
15.437,B,,Options and Futures,Finance,,,J. Cox,67,Y,Y,"T, Th",2:30 PM,4:00 PM,E51-149,,,,,,,,
15.438,A,,Fixed Income,Finance,,,D. Lucas,70,,,"T, Th",10:00 AM,11:30 AM,E62-262,,,,,,,,
15.438,B,,Fixed Income,Finance,,,D. Lucas,70,,,"T, Th",1:00 PM,2:30 PM,E51-395,,,,,,,,
15.439,,,Investment Management,Finance,,,R. Cohen,70,,,"M, W",8:30 AM,10:00 AM,E62-223,,,,,,,,
15.441J,,,Adv Fin Econ II,Finance,,,A. Schoar,25,y,y,F ,1:00 PM,4:00 PM,E62-650,,,,,,,,
15.442J,,,Adv Fin Econ III,Finance,,,A. Verdelhan,40,,,"M, W",2:30 PM,4:00 PM,E51-372,"M, W",1:00 PM,2:30 PM,E51-376,"M, W",10:00 AM,11:30 AM,E51-372
15.443,,,Finance Seminar,Finance,,,"X. Giroud, A. Malenko, H. Zhu",50,,,W,4:00 PM,6:00 PM,E62-250,,,,,,,,
15.444,A,,International Finance,Finance,,,A. Mello,60,,,"T, Th",8:30 AM,10:00 AM,E51-395,,,,,,,,
15.444,B,,International Finance,Finance,,,A. Mello,60,,,"T, Th",10:00 AM,11:30 AM,E51-395,,,,,,,,
15.46,,,Analytics of Finance,Finance,,,P. Mende,70,,,Th,4:00 PM,7:00 PM,E62-223,,,,,,,,
15.46,,Rec,Analytics of Finance,Finance,,,Men1,70,,,F ,3:00 PM,4:00 PM,E62-223,,,,,,,,
15.464,,,Valuation,Finance,,,S. Myers,80,,,"T, Th",2:30 PM,4:00 PM,E51-315,"T, Th",2:30 PM,4:00 PM,E51-325,"T, Th",2:30 PM,4:00 PM,E62-223
15.466,,,Functional and Strategic,Finance,,,R. Merton,80,,,"M, W",10:00 AM,11:30 AM,E51-315,"M, W",10:00 AM,11:30 AM,E51-325,"M, W",10:00 AM,11:30 AM,E62-223
15.466,,Rec,Functional and Strategic,Finance,,,Mert1,80,,,Th,8:30 AM,10:00 AM,E51-395,,,,,,,,
15.467,,,Retirement Finance,Finance,,,R. Merton,80,,,"M, W",1:00 PM,2:30 PM,E51-315,"M, W",1:00 PM,2:30 PM,E51-325,"M, W",1:00 PM,2:30 PM,E62-223
15.467,,Rec,Retirement Finance,Finance,,,Mert2,80,,,Th,1:00 PM,2:30 PM,E51-085,,,,,,,,
15.49,,,Private Equity,Finance,H2,,P. Cooper,80,,,M,4:00 PM,6:00 PM,E51-315,M,4:00 PM,6:00 PM,E51-325,M,4:00 PM,6:00 PM,E62-223
15.491,,,Perspectives on Investment,Finance,,,J. Parsons,54,,,M,4:00 PM,7:00 PM,E62-250,,,,,,,,
15.493,,,Practice of Fin: Perspectives on Invest. Mgmt,Finance,H2,,J. Shames,75,,,W ,4:00 PM,7:00 PM,E51-335,,,,,,,,
15.545,A,,Mergers and Acquistions,Finance,H1,,R. McLean,86,,,"M, W",1:00 PM,2:30 PM,E51-315,,,,,,,,
15.545,B,,Mergers and Acquistions,Finance,H1,,R. McLean,86,,,"M, W",2:30 PM,4:00 PM,E51-315,,,,,,,,
15.S26,,,Finance Research Seminar,Finance,H1,,J. Minahan,67,,,"M, W",4:00 PM,6:00 PM,E51-149,,,,,,,,
15.S68,,,Financial Market Dynamics,Finance,,,A. Lo,86,,,T,4:00 PM,7:00 PM,E62-262,,,,,,,,
15.S68,,Rec,Financial Market Dynamics,Finance,,,Lo1,86,,,F ,10:00 AM,11:00 AM,E62-262,,,,,,,,
15.518,A,,Taxes and Business Strategy,Accounting,,,M Hanlon,60,,,"T, Th",1:00 PM,2:30 PM,E51-395,,,,,,,,
